position,heaps,depth,algo,reps,avg_nodes,avg_time_ms,move_heap,move_remove
3-4-5,3,2,minimax,30,125,0.001094,0,2
3-4-5,3,2,alphabeta,30,125,0.004352,0,2
3-4-5,3,3,minimax,30,935,0.007373,0,1
3-4-5,3,3,alphabeta,30,402,0.024875,0,2
3-4-5,3,4,minimax,30,5273,0.042467,0,2
3-4-5,3,4,alphabeta,30,1259,0.048126,0,2
3-4-5,3,5,minimax,30,22769,0.189481,0,1
3-4-5,3,5,alphabeta,30,2219,0.085003,0,2
3-4-5,3,6,minimax,30,76211,0.648757,0,2
3-4-5,3,6,alphabeta,30,4788,0.154050,0,2
3-4-5,3,7,minimax,30,199439,1.756180,0,1
3-4-5,3,7,alphabeta,30,7050,0.194171,0,2
3-4-5,3,8,minimax,30,410909,3.705978,0,2
3-4-5,3,8,alphabeta,30,10442,0.283486,0,2
3-4-5,3,9,minimax,30,673157,6.133296,0,1
3-4-5,3,9,alphabeta,30,9968,0.260813,0,2
3-4-5,3,10,minimax,30,895547,7.863317,0,2
3-4-5,3,10,alphabeta,30,12920,0.301933,0,2
